customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total,Contrato_Longo
0094-oifmo,yes,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,1120.3,False
0096-bxers,no,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.35,314.55,False
0096-fcpuf,no,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,1888.45,False
0098-bowso,no,male,0,no,no,27,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,19.4,529.8,False
0100-duvfc,no,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.8,7308.95,True
0103-csitq,no,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer,109.4,6252.7,True
0104-ppxdv,no,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one year,no,credit card,50.3,2878.55,True
0106-ghrqr,no,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer,71.4,1212.1,False
0106-ugrdo,no,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,116.0,8182.85,True
0107-weslm,yes,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,19.85,19.85,False
0107-yhina,yes,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.75,99.75,False
0111-klbqg,no,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,2861.45,False
0112-qawrz,no,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer,90.8,1442.2,False
0112-qwpnc,yes,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,84.35,4059.35,True
0114-igabw,no,female,0,yes,no,71,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer,58.25,4145.9,True
0114-pegzz,no,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,107.55,3645.5,False
0114-rsrrw,no,female,0,yes,no,10,yes,no,no,no,no,no,no,no,no,month-to-month,yes,bank transfer,19.95,187.75,False
0115-tfert,yes,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.2,2317.1,False
0117-lfrmw,yes,male,0,yes,yes,37,no,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer,40.2,1448.8,False
0118-jpnoy,no,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,credit card,85.8,2193.65,False
0121-snyrk,no,male,0,no,no,50,no,no,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1748.9,True
0122-oahpz,yes,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25,False
0123-crbrt,no,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,88.1,5526.75,True
0125-lzqxk,yes,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,101.35,1553.95,False
0128-mkwsg,no,female,0,no,yes,26,no,no,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,45.8,1147.0,False
0129-kptwj,no,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.65,6747.35,False
0129-qmpdr,no,male,0,yes,yes,44,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer,20.5,865.05,True
0130-sxoun,no,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,credit card,89.4,5976.9,False
0133-bmfzo,yes,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,86.25,181.65,False
0134-xwxce,no,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer,74.85,3268.05,True
0135-nmxap,yes,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer,89.75,1052.4,False
0136-ifmyd,no,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,109.95,7634.25,True
0137-ocgab,yes,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.2,80.2,False
0137-udeuo,yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,63.75,False
0139-ivfjg,no,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,190.5,False
0141-yeays,no,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer,86.45,2401.05,False
0142-gvysn,no,male,0,no,no,26,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,20.3,511.25,False
0147-eswwr,no,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.25,3949.15,False
0148-dcdos,yes,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer,94.7,2362.1,False
0151-ontov,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,70.9,False
0156-fvpta,yes,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1152.7,False
0164-apgrb,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,114.9,8496.7,True
0164-xairp,no,female,0,no,no,24,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer,19.55,470.2,True
0168-xzkbb,no,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.85,1564.4,False
0174-qrvvy,no,male,0,yes,yes,71,yes,yes,no,no,no,no,no,no,no,two year,no,credit card,25.35,1847.55,True
0177-pxbat,no,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer,109.9,3694.7,False
0178-ciikr,no,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.95,58.0,False
0178-szbho,no,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,87.2,4017.45,False
0181-ritdd,no,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,108.15,6825.65,True
0186-caerr,no,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer,116.3,8309.55,True
0187-qsxoe,no,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.0,605.45,False
0187-wznab,no,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,mailed check,74.4,1972.35,False
0188-gwfle,no,male,0,no,no,2,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.05,33.7,False
0191-equuh,no,female,0,no,yes,25,no,no,dsl,yes,no,no,yes,no,no,two year,no,bank transfer,35.05,844.45,True
0191-zhskz,no,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,False
0193-eszxp,yes,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card,105.5,6205.5,True
0195-iescp,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.25,855.3,False
0196-jtuqi,no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card,75.2,633.85,False
0196-vulgz,yes,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,474.9,False
0197-pnknk,no,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer,84.45,5848.6,True
0201-mibol,no,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,two year,yes,bank transfer,102.4,6471.85,True
0201-oamxr,yes,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card,115.55,8127.6,True
0203-hhyij,yes,male,0,no,no,25,yes,yes,no,no,no,no,no,no,no,one year,no,bank transfer,25.3,676.35,True
0206-oyvoc,no,female,0,yes,yes,46,yes,no,no,no,no,no,no,no,no,two year,yes,mailed check,19.25,864.2,True
0206-tbwlc,no,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5,True
0207-mdknv,yes,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,no,electronic check,105.1,1582.75,False
0208-bpqej,no,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,month-to-month,no,bank transfer,19.4,198.1,False
0212-isbbf,no,female,0,no,no,22,no,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1098.85,False
0214-jhpfw,no,female,0,yes,no,70,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer,57.8,4039.3,True
0215-bqkgs,no,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card,84.3,2438.6,False
0218-qnvas,no,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer,100.55,7113.75,True
0219-qaerp,no,male,0,yes,no,30,yes,no,no,no,no,no,no,no,no,one year,no,credit card,19.8,576.65,True
0219-ytzue,yes,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer,84.8,371.9,False
0220-ebgce,yes,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.85,167.3,False
0221-nauxk,no,male,0,no,yes,10,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer,19.95,219.5,True
0221-wmxnq,no,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,75.35,273.4,False
0222-cnvpt,no,male,1,no,no,52,no,no,dsl,yes,no,no,no,yes,yes,month-to-month,yes,credit card,48.8,2555.05,False
0224-hjapt,yes,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,47.15,223.15,False
0224-nijlp,no,male,0,yes,yes,8,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,20.15,165.5,True
0224-rlwwd,no,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,89.3,False
0225-zorzp,no,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.3,235.05,False
0228-mauwc,no,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1144.6,False
0229-lfjaf,no,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer,69.65,4908.25,True
0230-ubypq,no,male,1,yes,no,63,no,no,dsl,yes,no,no,yes,no,no,one year,no,bank transfer,36.1,2298.9,True
0230-wequw,no,male,0,yes,no,66,no,no,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer,56.6,3789.2,True
0231-lxvap,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,75.9,75.9,False
0233-fthav,no,female,0,no,no,60,yes,yes,fiber optic,no,no,yes,no,no,no,one year,yes,bank transfer,79.2,4765.0,True
0234-tevtt,no,female,0,yes,yes,48,no,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card,45.0,2196.3,True
0235-kgslc,yes,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card,85.55,85.55,False
0236-hfwsv,yes,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.35,1444.65,False
0237-yfutl,no,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer,109.65,5405.8,False
0238-whbiq,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,89.7,6339.3,True
0239-oxexl,no,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,no,mailed check,84.25,3847.6,False
0244-lgnfy,no,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,bank transfer,92.65,6733.0,True
0247-sluji,no,male,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.7,19.7,False
0248-ipdfw,no,female,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.1,50.1,False
0248-pghbz,no,female,1,no,no,67,yes,no,fiber optic,yes,yes,no,yes,yes,no,two year,yes,bank transfer,92.45,6140.85,True
0253-zteob,no,female,0,yes,yes,48,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,electronic check,79.65,3870.3,True
0254-fnmci,no,female,0,no,no,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,109.9,7624.2,True
0254-kcjgt,no,male,0,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card,81.4,4354.45,True
0254-wwrkd,no,female,0,yes,yes,67,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card,50.55,3431.75,True
0256-lthvj,yes,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,2227.1,False
0257-kxzgu,no,female,0,yes,yes,32,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,no,bank transfer,62.45,2045.55,False
0257-zesqc,yes,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer,75.2,1929.35,False
0258-nokbl,no,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,90.4,268.45,False
0259-gbzsh,yes,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,181.5,False
0260-zdlgk,yes,female,0,no,yes,9,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,mailed check,72.9,651.4,False
0263-fjtqo,no,male,0,yes,yes,50,yes,yes,dsl,yes,no,no,yes,yes,no,two year,yes,credit card,70.5,3486.65,True
0264-cnitk,no,female,0,yes,yes,71,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,20.1,1389.6,True
0265-edxbd,yes,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.9,2303.35,False
0265-psuae,no,female,0,yes,yes,16,yes,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,no,bank transfer,100.7,1522.7,False
0266-clzkz,no,female,0,yes,yes,67,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,bank transfer,105.65,6717.9,True
0266-gmeao,no,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card,114.3,8058.55,True
0268-qkiwo,yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,electronic check,19.75,58.85,False
0269-xfesx,no,male,0,yes,yes,23,yes,yes,no,no,no,no,no,no,no,one year,no,mailed check,24.35,538.5,True
0270-thenm,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer,69.85,5102.35,True
0274-jkujr,no,male,0,yes,yes,7,no,no,dsl,yes,yes,yes,no,yes,yes,month-to-month,no,mailed check,58.85,465.7,False
0277-bksqp,no,male,0,yes,yes,8,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.4,475.1,False
0277-orxqs,no,male,0,yes,yes,66,no,no,dsl,no,no,no,yes,yes,yes,two year,no,bank transfer,50.55,3364.55,True
0278-yxoog,yes,male,0,no,no,5,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,21.05,113.85,False
0280-xjgex,yes,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer,103.7,5036.3,False
0281-cntzx,no,male,0,yes,no,63,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer,19.95,1234.8,True
0282-nvsjs,no,female,1,yes,yes,12,no,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,29.3,355.9,False
0285-inhln,no,male,0,yes,yes,27,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card,54.75,1510.3,False
0289-ivarm,no,female,0,no,no,35,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,electronic check,60.55,1982.6,False
0292-wegch,no,female,0,yes,yes,54,yes,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,86.2,4524.05,False
0295-pphdo,yes,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,95.45,False
0295-qvkpb,no,male,0,no,no,5,yes,no,dsl,no,no,yes,yes,yes,no,month-to-month,yes,credit card,63.95,318.1,False
0297-rbcsg,no,male,0,no,no,19,yes,no,dsl,no,yes,no,yes,no,yes,one year,yes,bank transfer,65.35,1231.85,True
0298-xacet,no,male,0,yes,yes,52,no,no,dsl,no,yes,yes,yes,yes,no,two year,no,mailed check,50.2,2554.0,True
0301-fidrb,no,female,0,yes,yes,72,no,no,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,63.8,4684.3,True
0301-kobtq,no,male,0,no,no,32,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer,20.05,614.45,True
0302-joivn,yes,female,0,yes,no,8,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,101.15,842.9,False
0303-uncip,no,male,0,no,no,41,yes,yes,dsl,no,no,yes,no,no,yes,one year,no,mailed check,65.0,2531.8,True
0303-wmmrn,no,male,0,no,no,5,yes,no,no,no,no,no,no,no,no,month-to-month,yes,mailed check,19.25,86.05,False
0305-sqecb,no,female,0,no,yes,11,no,no,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,36.05,402.6,True
0306-jaele,yes,male,0,no,no,5,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,96.1,453.4,False
0307-bcopk,no,female,0,no,no,16,yes,no,no,no,no,no,no,no,no,one year,no,mailed check,19.05,326.65,True
0308-giqjt,no,male,1,no,no,71,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,no,bank transfer,105.75,7382.85,True
0308-ivgok,no,female,0,no,no,11,no,no,dsl,no,yes,yes,yes,no,no,one year,yes,credit card,40.4,422.6,True
0310-mvlet,yes,female,0,yes,yes,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.15,6010.05,False
0310-sucin,no,female,0,yes,no,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer,84.8,6046.1,True
0310-vqxam,no,male,0,no,no,9,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,178.8,False
0311-qywss,no,female,0,no,no,6,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.45,314.6,False
0311-unpff,yes,female,0,no,no,26,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer,88.8,2274.35,False
0314-tkosi,no,female,0,no,no,6,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,55.15,322.9,False
